cod_ibge6,municipio,competencia,mes_internacao,capitulo,subgrupo,faixa_etaria,internacoes,obitos,dias_permanencia,valor_total_rs
350920,Cajamar,2025-07,2025-04,respiratorio (J00-J99),outras respiratorias,0-4,1,0,2,187.13
350920,Cajamar,2025-07,2025-05,circulatorio (I00-I99),circulatorio (I00-I99),5-64,1,0,2,11040.08
350920,Cajamar,2025-07,2025-05,respiratorio (J00-J99),pneumonia (J12-J18),5-64,1,0,21,614.82
350920,Cajamar,2025-07,2025-06,circulatorio (I00-I99),circulatorio (I00-I99),5-64,7,0,55,49713.15
350920,Cajamar,2025-07,2025-06,circulatorio (I00-I99),circulatorio (I00-I99),65+,3,0,28,10883.14
350920,Cajamar,2025-07,2025-06,respiratorio (J00-J99),DPOC e asma (J40-J47),65+,2,0,15,1299.06
350920,Cajamar,2025-07,2025-06,respiratorio (J00-J99),pneumonia (J12-J18),0-4,1,0,5,582.42
350920,Cajamar,2025-07,2025-06,respiratorio (J00-J99),pneumonia (J12-J18),5-64,3,0,41,4288.73
350920,Cajamar,2025-07,2025-06,respiratorio (J00-J99),pneumonia (J12-J18),65+,3,0,10,1970.21
350920,Cajamar,2025-07,2025-07,circulatorio (I00-I99),circulatorio (I00-I99),5-64,25,1,46,70184.72
350920,Cajamar,2025-07,2025-07,circulatorio (I00-I99),circulatorio (I00-I99),65+,7,0,24,8504.81
350920,Cajamar,2025-07,2025-07,respiratorio (J00-J99),DPOC e asma (J40-J47),5-64,1,0,2,479.19
350920,Cajamar,2025-07,2025-07,respiratorio (J00-J99),DPOC e asma (J40-J47),65+,1,0,3,479.19
350920,Cajamar,2025-07,2025-07,respiratorio (J00-J99),outras respiratorias,0-4,4,0,20,6748.31
350920,Cajamar,2025-07,2025-07,respiratorio (J00-J99),outras respiratorias,5-64,6,0,18,6109.05
350920,Cajamar,2025-07,2025-07,respiratorio (J00-J99),pneumonia (J12-J18),5-64,5,2,27,3283.5
350920,Cajamar,2025-07,2025-07,respiratorio (J00-J99),pneumonia (J12-J18),65+,11,2,57,6406.62
351060,Carapicuíba,2025-07,2025-03,circulatorio (I00-I99),circulatorio (I00-I99),5-64,1,0,8,13633.01
351060,Carapicuíba,2025-07,2025-04,circulatorio (I00-I99),circulatorio (I00-I99),5-64,1,0,98,50637.35
351060,Carapicuíba,2025-07,2025-05,circulatorio (I00-I99),circulatorio (I00-I99),5-64,3,0,42,7204.62
351060,Carapicuíba,2025-07,2025-05,circulatorio (I00-I99),circulatorio (I00-I99),65+,6,0,94,49138.17
351060,Carapicuíba,2025-07,2025-05,respiratorio (J00-J99),outras respiratorias,0-4,1,0,39,15118.39
351060,Carapicuíba,2025-07,2025-05,respiratorio (J00-J99),outras respiratorias,5-64,2,1,78,19291.6
351060,Carapicuíba,2025-07,2025-05,respiratorio (J00-J99),outras respiratorias,65+,1,0,17,2500.34
351060,Carapicuíba,2025-07,2025-05,respiratorio (J00-J99),pneumonia (J12-J18),5-64,2,0,44,10743.26
351060,Carapicuíba,2025-07,2025-05,respiratorio (J00-J99),pneumonia (J12-J18),65+,3,1,36,10065.24
351060,Carapicuíba,2025-07,2025-06,circulatorio (I00-I99),circulatorio (I00-I99),5-64,23,3,256,88639.94
351060,Carapicuíba,2025-07,2025-06,circulatorio (I00-I99),circulatorio (I00-I99),65+,29,6,344,79652.94
351060,Carapicuíba,2025-07,2025-06,respiratorio (J00-J99),DPOC e asma (J40-J47),5-64,4,0,37,2766.04
351060,Carapicuíba,2025-07,2025-06,respiratorio (J00-J99),DPOC e asma (J40-J47),65+,4,1,39,4897.06
351060,Carapicuíba,2025-07,2025-06,respiratorio (J00-J99),outras respiratorias,0-4,9,0,43,10418.81
351060,Carapicuíba,2025-07,2025-06,respiratorio (J00-J99),outras respiratorias,5-64,4,0,106,15025.09
351060,Carapicuíba,2025-07,2025-06,respiratorio (J00-J99),outras respiratorias,65+,5,0,55,15804.79
351060,Carapicuíba,2025-07,2025-06,respiratorio (J00-J99),pneumonia (J12-J18),0-4,4,0,34,16705.6
351060,Carapicuíba,2025-07,2025-06,respiratorio (J00-J99),pneumonia (J12-J18),5-64,10,2,83,11429.25
351060,Carapicuíba,2025-07,2025-06,respiratorio (J00-J99),pneumonia (J12-J18),65+,11,0,122,12819.81
351060,Carapicuíba,2025-07,2025-07,circulatorio (I00-I99),circulatorio (I00-I99),5-64,106,7,395,306098.26
351060,Carapicuíba,2025-07,2025-07,circulatorio (I00-I99),circulatorio (I00-I99),65+,64,10,306,177586.51
351060,Carapicuíba,2025-07,2025-07,respiratorio (J00-J99),DPOC e asma (J40-J47),0-4,2,0,4,999.72
351060,Carapicuíba,2025-07,2025-07,respiratorio (J00-J99),DPOC e asma (J40-J47),5-64,9,0,56,13654.66
351060,Carapicuíba,2025-07,2025-07,respiratorio (J00-J99),DPOC e asma (J40-J47),65+,4,0,29,3637.39
351060,Carapicuíba,2025-07,2025-07,respiratorio (J00-J99),outras respiratorias,0-4,21,0,96,27770.25
351060,Carapicuíba,2025-07,2025-07,respiratorio (J00-J99),outras respiratorias,5-64,11,1,49,36271.47
351060,Carapicuíba,2025-07,2025-07,respiratorio (J00-J99),outras respiratorias,65+,11,6,79,38278.84
351060,Carapicuíba,2025-07,2025-07,respiratorio (J00-J99),pneumonia (J12-J18),0-4,36,0,133,37533.69
351060,Carapicuíba,2025-07,2025-07,respiratorio (J00-J99),pneumonia (J12-J18),5-64,15,0,84,11538.87
351060,Carapicuíba,2025-07,2025-07,respiratorio (J00-J99),pneumonia (J12-J18),65+,11,2,71,11760.06
351300,Cotia,2025-07,2025-04,circulatorio (I00-I99),circulatorio (I00-I99),65+,1,0,0,40.38
351300,Cotia,2025-07,2025-04,respiratorio (J00-J99),pneumonia (J12-J18),5-64,1,0,7,652.43
351300,Cotia,2025-07,2025-05,circulatorio (I00-I99),circulatorio (I00-I99),65+,2,1,17,1364.85
351300,Cotia,2025-07,2025-05,respiratorio (J00-J99),outras respiratorias,0-4,1,0,4,187.13
351300,Cotia,2025-07,2025-05,respiratorio (J00-J99),outras respiratorias,5-64,1,0,2,1073.21
351300,Cotia,2025-07,2025-06,circulatorio (I00-I99),circulatorio (I00-I99),5-64,10,1,79,44977.82
351300,Cotia,2025-07,2025-06,circulatorio (I00-I99),circulatorio (I00-I99),65+,10,1,80,43313.55
351300,Cotia,2025-07,2025-06,respiratorio (J00-J99),outras respiratorias,0-4,3,0,25,10254.02
351300,Cotia,2025-07,2025-06,respiratorio (J00-J99),outras respiratorias,5-64,2,0,11,2525.49
351300,Cotia,2025-07,2025-06,respiratorio (J00-J99),outras respiratorias,65+,1,0,5,1138.23
351300,Cotia,2025-07,2025-06,respiratorio (J00-J99),pneumonia (J12-J18),5-64,4,1,45,4438.18
351300,Cotia,2025-07,2025-06,respiratorio (J00-J99),pneumonia (J12-J18),65+,3,0,60,8206.05
351300,Cotia,2025-07,2025-07,circulatorio (I00-I99),circulatorio (I00-I99),5-64,68,5,178,187929.06
351300,Cotia,2025-07,2025-07,circulatorio (I00-I99),circulatorio (I00-I99),65+,42,6,166,109997.29
351300,Cotia,2025-07,2025-07,respiratorio (J00-J99),DPOC e asma (J40-J47),0-4,1,0,4,511.19
351300,Cotia,2025-07,2025-07,respiratorio (J00-J99),DPOC e asma (J40-J47),5-64,5,0,12,2588.36
351300,Cotia,2025-07,2025-07,respiratorio (J00-J99),outras respiratorias,0-4,19,1,77,13908.42
351300,Cotia,2025-07,2025-07,respiratorio (J00-J99),outras respiratorias,5-64,14,0,44,21586.73
351300,Cotia,2025-07,2025-07,respiratorio (J00-J99),outras respiratorias,65+,1,0,16,913.01
351300,Cotia,2025-07,2025-07,respiratorio (J00-J99),pneumonia (J12-J18),0-4,10,0,78,24504.1
351300,Cotia,2025-07,2025-07,respiratorio (J00-J99),pneumonia (J12-J18),5-64,12,2,101,12719.69
351300,Cotia,2025-07,2025-07,respiratorio (J00-J99),pneumonia (J12-J18),65+,12,4,108,13537.56
351380,Diadema,2025-07,2025-03,circulatorio (I00-I99),circulatorio (I00-I99),65+,2,0,84,21667.13
351380,Diadema,2025-07,2025-03,respiratorio (J00-J99),pneumonia (J12-J18),5-64,1,0,69,43722.05
351380,Diadema,2025-07,2025-04,circulatorio (I00-I99),circulatorio (I00-I99),0-4,1,0,43,610.06
351380,Diadema,2025-07,2025-04,circulatorio (I00-I99),circulatorio (I00-I99),5-64,8,1,73,10114.69
351380,Diadema,2025-07,2025-04,circulatorio (I00-I99),circulatorio (I00-I99),65+,8,1,164,18811.6
351380,Diadema,2025-07,2025-04,respiratorio (J00-J99),DPOC e asma (J40-J47),65+,1,1,54,3248.34
351380,Diadema,2025-07,2025-04,respiratorio (J00-J99),outras respiratorias,5-64,1,0,5,8709.97
351380,Diadema,2025-07,2025-04,respiratorio (J00-J99),pneumonia (J12-J18),5-64,2,0,61,2304.25
351380,Diadema,2025-07,2025-05,circulatorio (I00-I99),circulatorio (I00-I99),5-64,24,1,249,26496.43
351380,Diadema,2025-07,2025-05,circulatorio (I00-I99),circulatorio (I00-I99),65+,30,5,487,144086.92
351380,Diadema,2025-07,2025-05,respiratorio (J00-J99),outras respiratorias,5-64,6,0,102,56078.28
351380,Diadema,2025-07,2025-05,respiratorio (J00-J99),pneumonia (J12-J18),5-64,19,1,152,38529.85
351380,Diadema,2025-07,2025-05,respiratorio (J00-J99),pneumonia (J12-J18),65+,18,3,166,17419.03
351380,Diadema,2025-07,2025-06,circulatorio (I00-I99),circulatorio (I00-I99),5-64,36,3,328,130682.61
351380,Diadema,2025-07,2025-06,circulatorio (I00-I99),circulatorio (I00-I99),65+,29,3,344,135735.89
351380,Diadema,2025-07,2025-06,respiratorio (J00-J99),DPOC e asma (J40-J47),0-4,1,0,7,602.35
351380,Diadema,2025-07,2025-06,respiratorio (J00-J99),DPOC e asma (J40-J47),5-64,4,1,52,7217.84
351380,Diadema,2025-07,2025-06,respiratorio (J00-J99),DPOC e asma (J40-J47),65+,1,0,2,479.19
351380,Diadema,2025-07,2025-06,respiratorio (J00-J99),outras respiratorias,0-4,4,0,53,19766.81
351380,Diadema,2025-07,2025-06,respiratorio (J00-J99),outras respiratorias,5-64,3,1,54,17959.3
351380,Diadema,2025-07,2025-06,respiratorio (J00-J99),pneumonia (J12-J18),0-4,3,0,17,1951.76
351380,Diadema,2025-07,2025-06,respiratorio (J00-J99),pneumonia (J12-J18),5-64,22,6,112,34677.08
351380,Diadema,2025-07,2025-06,respiratorio (J00-J99),pneumonia (J12-J18),65+,20,2,190,25954.47
351380,Diadema,2025-07,2025-07,circulatorio (I00-I99),circulatorio (I00-I99),5-64,53,5,197,171047.81
351380,Diadema,2025-07,2025-07,circulatorio (I00-I99),circulatorio (I00-I99),65+,37,4,128,167632.8
351380,Diadema,2025-07,2025-07,respiratorio (J00-J99),DPOC e asma (J40-J47),0-4,1,0,2,505.87
351380,Diadema,2025-07,2025-07,respiratorio (J00-J99),DPOC e asma (J40-J47),5-64,2,0,7,1026.77
351380,Diadema,2025-07,2025-07,respiratorio (J00-J99),outras respiratorias,0-4,16,0,66,13807.57
351380,Diadema,2025-07,2025-07,respiratorio (J00-J99),outras respiratorias,5-64,26,1,53,36297.14
351380,Diadema,2025-07,2025-07,respiratorio (J00-J99),outras respiratorias,65+,3,2,19,8636.45
351380,Diadema,2025-07,2025-07,respiratorio (J00-J99),pneumonia (J12-J18),0-4,1,0,3,659.05
351380,Diadema,2025-07,2025-07,respiratorio (J00-J99),pneumonia (J12-J18),5-64,5,0,27,3310.62
351380,Diadema,2025-07,2025-07,respiratorio (J00-J99),pneumonia (J12-J18),65+,5,0,26,3809.68
351500,Embu das Artes,2025-07,2025-01,circulatorio (I00-I99),circulatorio (I00-I99),65+,1,0,113,2449.15
351500,Embu das Artes,2025-07,2025-04,circulatorio (I00-I99),circulatorio (I00-I99),0-4,1,0,1,463.35
351500,Embu das Artes,2025-07,2025-04,circulatorio (I00-I99),circulatorio (I00-I99),5-64,3,1,73,3930.93
351500,Embu das Artes,2025-07,2025-04,circulatorio (I00-I99),circulatorio (I00-I99),65+,6,0,40,3058.46
351500,Embu das Artes,2025-07,2025-04,respiratorio (J00-J99),DPOC e asma (J40-J47),5-64,1,0,1,487.19
351500,Embu das Artes,2025-07,2025-04,respiratorio (J00-J99),DPOC e asma (J40-J47),65+,2,0,13,998.5
351500,Embu das Artes,2025-07,2025-04,respiratorio (J00-J99),outras respiratorias,0-4,2,0,7,826.81
351500,Embu das Artes,2025-07,2025-04,respiratorio (J00-J99),outras respiratorias,5-64,1,0,1,195.13
351500,Embu das Artes,2025-07,2025-04,respiratorio (J00-J99),pneumonia (J12-J18),0-4,2,0,20,8916.18
351500,Embu das Artes,2025-07,2025-04,respiratorio (J00-J99),pneumonia (J12-J18),5-64,7,1,106,4859.28
